cmc_id,symbol,name,obs_months,current_class,proposed_class,rationale,changed
2915,MOC,Moss Coin,88,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
3773,FET,Artificial Superintelligence Alliance,86,other,other,keep other -- AI/agent utility token (no security-staking benefit and no governance/fee-share lock).,False
2588,LOOM,Loom Network,86,other,other,keep other -- gaming/metaverse token (no security-staking benefit and no governance/fee-share lock).,False
3783,ANKR,Ankr,85,other,other,"GRAY ZONE -- Ankr (ANKR): DePIN/RPC + liquid-staking utility/governance token; ambiguous, left other.",False
3701,RIF,Rootstock Infrastructure Framework,85,other,other,keep other -- DePIN/infrastructure token (no security-staking benefit and no governance/fee-share lock).,False
1087,FCT,Factom,84,other,other,"GRAY ZONE -- Factom (FCT): data-anchoring credit/entry-credit model, no clean staking-for-security reward. Ambiguous; left other.",False
1817,VGX,VGX Token,84,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
1492,GBYTE,Obyte,83,other,other,GRAY ZONE -- Obyte (GBYTE): native DAG coin but historically no staking rewards (b_t ~ 0). Ambiguous; left other.,False
3957,LEO,UNUS SED LEO,83,other,other,keep other -- exchange/discount token (no security-staking benefit and no governance/fee-share lock).,False
2502,HT,Huobi Token,82,other,other,keep other -- exchange/discount token (no security-staking benefit and no governance/fee-share lock).,False
1853,OAX,OAX,81,other,other,keep other -- marketplace utility token (no security-staking benefit and no governance/fee-share lock).,False
3897,OKB,OKB,81,other,other,keep other -- exchange/discount token (no security-staking benefit and no governance/fee-share lock).,False
4269,GT,GateToken,80,other,other,keep other -- exchange/discount token (no security-staking benefit and no governance/fee-share lock).,False
4041,MX,MX Token,79,other,other,keep other -- exchange/discount token (no security-staking benefit and no governance/fee-share lock).,False
2398,KEY,SelfKey,77,other,other,keep other -- AI/data utility token (no security-staking benefit and no governance/fee-share lock).,False
4705,PAXG,PAX Gold,77,other,other,keep other -- wrapped/tokenized asset (no security-staking benefit and no governance/fee-share lock).,False
2090,LA,LATOKEN,76,other,other,keep other -- exchange/discount token (no security-staking benefit and no governance/fee-share lock).,False
1710,VERI,Veritaseum,76,other,other,keep other -- services utility token (no security-staking benefit and no governance/fee-share lock).,False
1037,AGRS,Agoras: Tau Net,75,other,other,keep other -- AI/data utility token (no security-staking benefit and no governance/fee-share lock).,False
2243,DRGN,Dragonchain,75,other,other,keep other -- enterprise/platform token (no security-staking benefit and no governance/fee-share lock).,False
3801,BORA,BORA,74,other,other,keep other -- gaming/metaverse token (no security-staking benefit and no governance/fee-share lock).,False
2019,VIB,Viberate,74,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
3260,AMO,AMO Coin,73,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
2943,RPL,Rocket Pool,72,other,other,GRAY ZONE -- Rocket Pool (RPL): liquid-staking protocol governance/collateral token; left other per Entry 8 (LST sector kept out of the coin/token cut).,False
3673,ASD,ASD,71,other,other,keep other -- exchange/discount token (no security-staking benefit and no governance/fee-share lock).,False
2776,AVA,AVA (Travala),71,other,other,keep other -- payments utility token (no security-staking benefit and no governance/fee-share lock).,False
2245,PRE,Presearch,71,other,other,keep other -- AI/data utility token (no security-staking benefit and no governance/fee-share lock).,False
1948,AVT,Aventus,70,other,other,keep other -- enterprise/platform token (no security-staking benefit and no governance/fee-share lock).,False
3600,HPO,Hippocrat,70,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
3640,LPT,Livepeer,70,other,other,keep other -- AI/data utility token (no security-staking benefit and no governance/fee-share lock).,False
5268,EWT,Energy Web Token,69,other,other,GRAY ZONE -- Energy Web (EWT): own chain but Proof-of-Authority; weak/empty seigniorage benefit. Ambiguous; left other.,False
3884,FX,Pundi AI,69,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
2316,DBC,DeepBrain Chain,68,other,other,keep other -- AI/data utility token (no security-staking benefit and no governance/fee-share lock).,False
1392,PLU,Pluton,68,other,other,keep other -- payments utility token (no security-staking benefit and no governance/fee-share lock).,False
2213,QASH,QASH,67,other,other,keep other -- exchange/discount token (no security-staking benefit and no governance/fee-share lock).,False
5026,OXT,Orchid,66,other,other,keep other -- DePIN/infrastructure token (no security-staking benefit and no governance/fee-share lock).,False
4275,COMBO,COMBO,65,other,other,keep other -- gaming/metaverse token (no security-staking benefit and no governance/fee-share lock).,False
1807,SAN,Santiment Network Token,65,other,other,keep other -- AI/data utility token (no security-staking benefit and no governance/fee-share lock).,False
5964,TWT,Trust Wallet Token,65,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
7431,AKT,Akash Network,64,other,other,keep other -- AI/data utility token (no security-staking benefit and no governance/fee-share lock).,False
6210,SAND,The Sandbox,64,other,other,keep other -- gaming/metaverse token (no security-staking benefit and no governance/fee-share lock).,False
8119,SFP,SafePal,64,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
1172,SFT,Safex Token,64,other,other,keep other -- privacy utility token (no security-staking benefit and no governance/fee-share lock).,False
5908,DKA,dKargo,63,other,other,keep other -- AI/data utility token (no security-staking benefit and no governance/fee-share lock).,False
45,CSC,CasinoCoin,62,other,other,keep other -- gaming/metaverse token (no security-staking benefit and no governance/fee-share lock).,False
1789,PPT,Populous,62,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
4120,PROM,Prom,62,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
9040,PUNDIX,Pundi X (New),62,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
2267,WABI,Wabi,62,other,other,keep other -- payments utility token (no security-staking benefit and no governance/fee-share lock).,False
2276,IGNIS,Ignis,61,other,other,keep other -- payments utility token (no security-staking benefit and no governance/fee-share lock).,False
2553,RFR,Refereum,61,other,other,keep other -- gaming/metaverse token (no security-staking benefit and no governance/fee-share lock).,False
3724,SOLVE,SOLVE,61,other,other,keep other -- enterprise/platform token (no security-staking benefit and no governance/fee-share lock).,False
3581,PNK,Kleros,60,other,other,GRAY ZONE -- Kleros (PNK): jurors stake PNK for case selection + fees (a work/fee-share token) -- borderline token; left other pending review.,False
2866,BOUNTY,Chainbounty,59,other,other,keep other -- AI/data utility token (no security-staking benefit and no governance/fee-share lock).,False
2934,KAN,BitKan,59,other,other,keep other -- media/social token (no security-staking benefit and no governance/fee-share lock).,False
3175,MARO,Maro,59,other,other,keep other -- media/social token (no security-staking benefit and no governance/fee-share lock).,False
5161,WRX,WazirX,59,other,other,keep other -- exchange/discount token (no security-staking benefit and no governance/fee-share lock).,False
6958,ACH,Alchemy Pay,58,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
2572,BAX,BABB,58,other,other,keep other -- payments utility token (no security-staking benefit and no governance/fee-share lock).,False
6724,KLV,Klever Coin,58,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
9020,TKO,Toko Token,58,other,other,keep other -- exchange/discount token (no security-staking benefit and no governance/fee-share lock).,False
3946,CRE,Carry,57,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
8536,MASK,Mask Network,57,other,other,keep other -- gaming/metaverse token (no security-staking benefit and no governance/fee-share lock).,False
1908,NAS,Nebulas,57,other,other,keep other -- platform utility token (no security-staking benefit and no governance/fee-share lock).,False
2161,RDN,Raiden Network Token,57,other,other,keep other -- platform utility token (no security-staking benefit and no governance/fee-share lock).,False
2992,APL,Apollo Currency,56,other,other,keep other -- privacy utility token (no security-staking benefit and no governance/fee-share lock).,False
2306,BRD,Bread,56,other,other,keep other -- services utility token (no security-staking benefit and no governance/fee-share lock).,False
11584,BTRST,Braintrust,56,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
2134,GRID,Grid+,56,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
8425,JASMY,JasmyCoin,56,other,other,keep other -- IoT utility token (no security-staking benefit and no governance/fee-share lock).,False
7878,MOB,MobileCoin,56,other,other,keep other -- privacy utility token (no security-staking benefit and no governance/fee-share lock).,False
3795,ZEON,ZEON,56,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
3718,BTTOLD,BitTorrent,55,other,other,keep other -- DePIN/compute token (no security-staking benefit and no governance/fee-share lock).,False
10603,IMX,Immutable,55,other,other,GRAY ZONE -- Immutable (IMX): zkEVM L2 token; staking exists but security leans on Ethereum. Ambiguous; left other.,False
5616,MATH,MATH,55,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
9816,NFT,AINFT,55,other,other,keep other -- NFT-ecosystem fungible token (no security-staking benefit and no governance/fee-share lock).,False
5060,XNC,XeniosCoin,55,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
6216,AXEL,AXEL,54,other,other,keep other -- storage/DePIN token (no security-staking benefit and no governance/fee-share lock).,False
2043,CND,Cindicator,54,other,other,keep other -- AI/data utility token (no security-staking benefit and no governance/fee-share lock).,False
10442,DESO,Decentralized Social,54,other,other,keep other -- media/social token (no security-staking benefit and no governance/fee-share lock).,False
2548,POA,POA Network,54,other,other,keep other -- platform utility token (no security-staking benefit and no governance/fee-share lock).,False
1409,SNGLS,SingularDTV,54,other,other,keep other -- media/social token (no security-staking benefit and no governance/fee-share lock).,False
7192,WBNB,Wrapped BNB,54,other,other,keep other -- wrapped/tokenized asset (no security-staking benefit and no governance/fee-share lock).,False
14822,VR,Victoria VR,53,other,other,keep other -- AI/data utility token (no security-staking benefit and no governance/fee-share lock).,False
8384,CLV,CLV,52,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
1776,MCO,MCO,52,other,other,keep other -- payments utility token (no security-staking benefit and no governance/fee-share lock).,False
3628,MXC,Moonchain,52,other,other,keep other -- DePIN/infrastructure token (no security-staking benefit and no governance/fee-share lock).,False
3666,ULT,Ultiledger,52,other,other,keep other -- services utility token (no security-staking benefit and no governance/fee-share lock).,False
5176,XAUt,Tether Gold,52,other,other,keep other -- wrapped/tokenized asset (no security-staking benefit and no governance/fee-share lock).,False
18069,GMT,GMT,51,other,other,keep other -- gaming/metaverse token (no security-staking benefit and no governance/fee-share lock).,False
9720,LAT,PlatON,51,other,other,keep other -- AI/data utility token (no security-staking benefit and no governance/fee-share lock).,False
1721,MYST,Mysterium,51,other,other,keep other -- DePIN/compute token (no security-staking benefit and no governance/fee-share lock).,False
3126,XPX,ProximaX,51,other,other,keep other -- DePIN/compute token (no security-staking benefit and no governance/fee-share lock).,False
4283,BF,BitForex Token,50,other,other,keep other -- exchange/discount token (no security-staking benefit and no governance/fee-share lock).,False
2605,BFT,BnkToTheFuture,50,other,other,keep other -- services utility token (no security-staking benefit and no governance/fee-share lock).,False
1876,DCN,Dentacoin,50,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
1954,MDA,Moeda Loyalty Points,50,other,other,keep other -- services utility token (no security-staking benefit and no governance/fee-share lock).,False
2321,QLC,Kepple,50,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
2758,UBT,Unibright,50,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
8085,stETH,Lido Staked ETH,50,other,other,keep other -- liquid-staking derivative (Entry 8: other) (no security-staking benefit and no governance/fee-share lock).,False
11346,RACA,RACA,49,other,other,keep other -- gaming/metaverse token (no security-staking benefit and no governance/fee-share lock).,False
14556,BOBA,Boba Network,48,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
1949,DLT,Agrello,48,other,other,keep other -- AI/data utility token (no security-staking benefit and no governance/fee-share lock).,False
2643,DVPN,Sentinel,48,other,other,keep other -- DePIN/infrastructure token (no security-staking benefit and no governance/fee-share lock).,False
823,GEO,GeoCoin,48,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
1723,SNM,SONM,48,other,other,keep other -- DePIN/compute token (no security-staking benefit and no governance/fee-share lock).,False
7281,XPRT,Persistence One,48,other,other,keep other -- liquid-staking derivative (Entry 8: other) (no security-staking benefit and no governance/fee-share lock).,False
2344,APPC,AppCoins,47,other,other,keep other -- platform utility token (no security-staking benefit and no governance/fee-share lock).,False
11212,ATLAS,Star Atlas,47,other,other,keep other -- gaming/metaverse token (no security-staking benefit and no governance/fee-share lock).,False
3974,BTC2,Bitcoin 2,47,other,other,keep other -- payments utility token (no security-staking benefit and no governance/fee-share lock).,False
11374,D,DAR Open Network,47,other,other,keep other -- gaming/metaverse token (no security-staking benefit and no governance/fee-share lock).,False
2181,GVT,Genesis Vision,47,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
5221,HNS,Handshake,47,other,other,keep other -- DePIN/infrastructure token (no security-staking benefit and no governance/fee-share lock).,False
2544,NCASH,Nitro Network,47,other,other,keep other -- IoT utility token (no security-staking benefit and no governance/fee-share lock).,False
11840,OP,Optimism,47,other,other,"GRAY ZONE -- Optimism (OP): L2 governance token -- no security-staking (not coin), governance-only without a vote-escrow fee-share lock (not a clean token). Ambiguous; left other.",False
2364,TCT,TokenClub,47,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
1403,1ST,FirstBlood,46,other,other,keep other -- gaming/metaverse token (no security-staking benefit and no governance/fee-share lock).,False
2444,C20,CRYPTO20,46,other,other,keep other -- services utility token (no security-staking benefit and no governance/fee-share lock).,False
606,FLDC,FoldingCoin,46,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
3662,HEDG,HedgeTrade,46,other,other,keep other -- exchange/discount token (no security-staking benefit and no governance/fee-share lock).,False
2473,SOC,All Sports,46,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
12999,SSV,ssv.network,46,other,other,"GRAY ZONE -- ssv.network (SSV): distributed-validator staking infrastructure; fee/governance token, not chain security itself. Ambiguous; left other.",False
1899,YOYOW,YOYOW,46,other,other,keep other -- media/social token (no security-staking benefit and no governance/fee-share lock).,False
2246,CMT,CyberMiles,45,other,other,keep other -- platform utility token (no security-staking benefit and no governance/fee-share lock).,False
4490,EMRX,Emirex Token,45,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
3631,FOAM,FOAM,45,other,other,keep other -- AI/data utility token (no security-staking benefit and no governance/fee-share lock).,False
3756,MHC,#MetaHash,44,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
699,NSR,NuShares,44,other,other,keep other -- payments utility token (no security-staking benefit and no governance/fee-share lock).,False
1405,PEPECASH,Pepe Cash,44,other,other,keep other -- meme token (no security-staking benefit and no governance/fee-share lock).,False
5777,RENBTC,renBTC,44,other,other,keep other -- wrapped/tokenized asset (no security-staking benefit and no governance/fee-share lock).,False
1002,SPRTS,Sprouts,44,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
5079,APM,apM Coin,43,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
1475,INCNT,Incent,43,other,other,keep other -- platform utility token (no security-staking benefit and no governance/fee-share lock).,False
2274,MDS,MediShares,43,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
4268,NYE,NewYork Exchange,43,other,other,keep other -- services utility token (no security-staking benefit and no governance/fee-share lock).,False
1983,VIBE,VIBE,43,other,other,keep other -- gaming/metaverse token (no security-staking benefit and no governance/fee-share lock).,False
11092,BGB,Bitget Token,42,other,other,keep other -- exchange/discount token (no security-staking benefit and no governance/fee-share lock).,False
7461,PDA,PlayDapp,42,other,other,keep other -- gaming/metaverse token (no security-staking benefit and no governance/fee-share lock).,False
1784,PLBT,Polybius,42,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
1208,RVR,RevolutionVR,42,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
1726,ZRC,ZrCoin,42,other,other,keep other -- services utility token (no security-staking benefit and no governance/fee-share lock).,False
3020,BHP,BHPCoin,41,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
2307,BIX,Bibox Token,41,other,other,keep other -- exchange/discount token (no security-staking benefit and no governance/fee-share lock).,False
2856,CEEK,CEEK VR,41,other,other,keep other -- gaming/metaverse token (no security-staking benefit and no governance/fee-share lock).,False
2642,CVT,CyberVein,41,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
18895,MBX,MARBLEX,41,other,other,keep other -- gaming/metaverse token (no security-staking benefit and no governance/fee-share lock).,False
4890,NWC,Numerico,41,other,other,keep other -- gaming/metaverse token (no security-staking benefit and no governance/fee-share lock).,False
1123,OBITS,OBITS,41,other,other,keep other -- exchange/discount token (no security-staking benefit and no governance/fee-share lock).,False
5072,RKN,Rakon,41,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
9721,SAMO,Samoyedcoin,41,other,other,keep other -- meme token (no security-staking benefit and no governance/fee-share lock).,False
2511,WPR,WePower,41,other,other,keep other -- marketplace utility token (no security-staking benefit and no governance/fee-share lock).,False
23121,BLUR,Blur,40,other,other,"GRAY ZONE -- Blur (BLUR): NFT-marketplace governance/incentive token; NFT-sector gray zone, left other.",False
2556,CS,Credits,40,other,other,keep other -- IoT utility token (no security-staking benefit and no governance/fee-share lock).,False
2446,DTA,DATA,40,other,other,keep other -- AI/data utility token (no security-staking benefit and no governance/fee-share lock).,False
1596,EDG,Edgeless,40,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
23635,FORM,Four,40,other,other,keep other -- gaming/metaverse token (no security-staking benefit and no governance/fee-share lock).,False
1950,HVN,Hiveterminal Token,40,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
1719,PPY,Peerplays,40,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
2313,SRN,SIRIN LABS Token,40,other,other,keep other -- DePIN/compute token (no security-staking benefit and no governance/fee-share lock).,False
5524,TNC,TNC Coin,40,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
1923,TNT,Tierion,40,other,other,keep other -- services utility token (no security-staking benefit and no governance/fee-share lock).,False
2061,BCPT,Blockmason Credit Protocol,39,other,other,keep other -- platform utility token (no security-staking benefit and no governance/fee-share lock).,False
2044,ENG,Enigma,39,other,other,keep other -- privacy utility token (no security-staking benefit and no governance/fee-share lock).,False
224,FAIR,FairCoin,39,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
1669,HMQ,Humaniq,39,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
525,HYP,HyperStake,39,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
21846,ID,SPACE ID,39,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
2017,KICK,KickToken [old],39,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
17081,LOOKS,LooksRare,39,other,other,"GRAY ZONE -- LooksRare (LOOKS): NFT-marketplace token; NFT-sector gray zone, left other.",False
1658,LUN,Lunyr,39,other,other,keep other -- media/social token (no security-staking benefit and no governance/fee-share lock).,False
1937,POE,Po.et,39,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
2476,RUFF,Ruff,39,other,other,keep other -- IoT utility token (no security-staking benefit and no governance/fee-share lock).,False
4078,SERO,Super Zero Protocol,39,other,other,keep other -- privacy utility token (no security-staking benefit and no governance/fee-share lock).,False
3875,VALOR,Valor Token,39,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
3737,BTU,BTU Protocol,38,other,other,keep other -- enterprise/platform token (no security-staking benefit and no governance/fee-share lock).,False
24613,EDU,Open Campus,38,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
939,GAM,Gambit,38,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
1715,MGO,MobileGo,38,other,other,keep other -- gaming/metaverse token (no security-staking benefit and no governance/fee-share lock).,False
2441,MOF,Molecular Future,38,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
1930,PST,Primas,38,other,other,keep other -- media/social token (no security-staking benefit and no governance/fee-share lock).,False
1905,TFL,TrueFlip,38,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
450,TRUST,TrustPlus,38,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
11222,WNCG,Nine Chronicles,38,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
2349,XIN,Mixin,38,other,other,keep other -- media/social token (no security-staking benefit and no governance/fee-share lock).,False
3866,CON,CONUN,37,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
2399,INT,INT,37,other,other,keep other -- IoT utility token (no security-staking benefit and no governance/fee-share lock).,False
400,KORE,Kore,37,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
2554,LYM,Lympo,37,other,other,keep other -- NFT-ecosystem fungible token (no security-staking benefit and no governance/fee-share lock).,False
25028,ORDI,ORDI,37,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
24478,PEPE,Pepe,37,other,other,keep other -- meme token (no security-staking benefit and no governance/fee-share lock).,False
11206,BLOK,Bloktopia,36,other,other,keep other -- gaming/metaverse token (no security-staking benefit and no governance/fee-share lock).,False
3742,BNANA,Chimpion,36,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
4257,BTRS,Bitball Treasure,36,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
2342,COV,Covesting,36,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
4512,FNSA,FINSCHIA,36,other,other,keep other -- exchange/discount token (no security-staking benefit and no governance/fee-share lock).,False
3936,GNY,GNY,36,other,other,keep other -- AI/data utility token (no security-staking benefit and no governance/fee-share lock).,False
